Stage       	Num. Cut    	Iteration   	Cluster     	Scenario    	RHS         	Vol. Hydro  	
            	            	            	            	            	k$          	k$/hm3      	
            	            	            	            	            	            	H1          	
           1	           1	           4	           1	           1	  0.33909E+05	 -0.66667E+00	
           1	           2	           3	           1	           1	  0.33911E+05	 -0.80000E+00	
           1	           3	           2	           1	           1	  0.33903E+05	 -0.66667E+00	
           1	           4	           1	           1	           1	  0.26554E+05	 -0.80000E+00	
           2	           1	           3	           1	           1	  0.29512E+05	 -0.80000E+00	
           2	           2	           2	           1	           1	  0.29506E+05	 -0.80000E+00	
           2	           3	           1	           1	           1	  0.22155E+05	 -0.80000E+00	
           3	           1	           3	           1	           1	  0.25196E+05	 -0.80000E+00	
           3	           2	           2	           1	           1	  0.25189E+05	 -0.80000E+00	
           3	           3	           1	           1	           1	  0.17849E+05	 -0.10111E+01	
           4	           1	           3	           1	           1	  0.21643E+05	 -0.80000E+00	
           4	           2	           2	           1	           1	  0.21636E+05	 -0.80000E+00	
           4	           3	           1	           1	           1	  0.17026E+05	 -0.55556E+02	
           5	           1	           3	           1	           1	  0.17980E+05	 -0.80000E+00	
           5	           2	           2	           1	           1	  0.17974E+05	 -0.80000E+00	
           5	           3	           1	           1	           1	  0.15690E+05	 -0.55556E+02	
           6	           1	           3	           1	           1	  0.15115E+05	 -0.10111E+01	
           6	           2	           2	           1	           1	  0.15098E+05	 -0.80000E+00	
           6	           3	           1	           1	           1	  0.14428E+05	 -0.55556E+02	
           7	           1	           3	           1	           1	  0.12732E+05	 -0.10111E+01	
           7	           2	           2	           1	           1	  0.12716E+05	 -0.80000E+00	
           7	           3	           1	           1	           1	  0.13236E+05	 -0.55556E+02	
           8	           1	           3	           1	           1	  0.10518E+05	 -0.10111E+01	
           8	           2	           2	           1	           1	  0.10511E+05	 -0.80000E+00	
           8	           3	           1	           1	           1	  0.10556E+05	 -0.55556E+02	
           9	           1	           2	           1	           1	  0.85120E+04	 -0.80000E+00	
           9	           2	           1	           1	           1	  0.85120E+04	 -0.80000E+00	
          10	           1	           2	           1	           1	  0.61687E+04	 -0.80000E+00	
          10	           2	           1	           1	           1	  0.61687E+04	 -0.80000E+00	
          11	           1	           2	           1	           1	  0.33152E+04	 -0.66667E+00	
          11	           2	           1	           1	           1	  0.33162E+04	 -0.80000E+00	
